run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20200528-01:14:56-4205,runattr,,,configname,General,,,
General-0-20200528-01:14:56-4205,runattr,,,datetime,20200528-01:14:56,,,
General-0-20200528-01:14:56-4205,runattr,,,experiment,General,,,
General-0-20200528-01:14:56-4205,runattr,,,inifile,omnetpp.ini,,,
General-0-20200528-01:14:56-4205,runattr,,,iterationvars,,,,
General-0-20200528-01:14:56-4205,runattr,,,iterationvarsf,,,,
General-0-20200528-01:14:56-4205,runattr,,,measurement,,,,
General-0-20200528-01:14:56-4205,runattr,,,network,Network,,,
General-0-20200528-01:14:56-4205,runattr,,,processid,4205,,,
General-0-20200528-01:14:56-4205,runattr,,,repetition,0,,,
General-0-20200528-01:14:56-4205,runattr,,,replication,#0,,,
General-0-20200528-01:14:56-4205,runattr,,,resultdir,results,,,
General-0-20200528-01:14:56-4205,runattr,,,runnumber,0,,,
General-0-20200528-01:14:56-4205,runattr,,,seedset,0,,,
General-0-20200528-01:14:56-4205,param,,,Network.node[0].app.interArrivalTime,exponential(7),,,
General-0-20200528-01:14:56-4205,param,,,Network.node[0].app.packetByteSize,125000,,,
General-0-20200528-01:14:56-4205,param,,,Network.node[0].app.destination,5,,,
General-0-20200528-01:14:56-4205,param,,,Network.node[2].app.interArrivalTime,exponential(7),,,
General-0-20200528-01:14:56-4205,param,,,Network.node[2].app.packetByteSize,125000,,,
General-0-20200528-01:14:56-4205,param,,,Network.node[2].app.destination,5,,,
General-0-20200528-01:14:56-4205,vector,Network.node[0].app,Hop Count,,,,"0","0"
General-0-20200528-01:14:56-4205,vector,Network.node[0].app,Source Node,,,,"0","0"
General-0-20200528-01:14:56-4205,vector,Network.node[0].app,Delay,,,,"0","0"
General-0-20200528-01:14:56-4205,vector,Network.node[0].lnk[0],Buffer Size,,,,"0 6.289922719388 6.289922719388 15.017429484523 15.017429484523 26.413301990875 26.413301990875 33.680585843815 33.680585843815 37.109686382321 37.109686382321 42.977697502336 42.977697502336 44.976335326643 44.976335326643 62.76949926679 62.76949926679 66.590776145486 66.590776145486 70.700838439185 70.700838439185 82.841767762037 82.841767762037 86.983494812008 86.983494812008 101.376382582264 101.376382582264 104.773226044218 104.773226044218 108.663377476062 108.663377476062 112.021093555642 112.021093555642 112.723640785245 113.021093555642 135.073997010175 135.073997010175 149.061075797358 149.061075797358 150.414812791423 150.414812791423 164.789716905536 164.789716905536 181.232482378113 181.232482378113 181.663872092803 182.232482378113 190.065175836152 190.065175836152 199.429647031178 199.429647031178","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20200528-01:14:56-4205,vector,Network.node[0].lnk[1],Buffer Size,,,,"0 12.752484639684 12.752484639684 30.270641397567 30.270641397567 40.505583528373 40.505583528373 43.386390185988 43.386390185988 77.573048968847 77.573048968847 88.717797732339 88.717797732339 101.89218007052 101.89218007052 105.411353227088 105.411353227088 134.774830285976 134.774830285976 153.553040006105 153.553040006105 176.087731429784 176.087731429784 189.184054970085 189.184054970085 198.991769751717 198.991769751717","0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0"
General-0-20200528-01:14:56-4205,vector,Network.node[0].net,PaquetesProcesados,,,,"0 6.289922719388 12.752484639684 15.017429484523 26.413301990875 30.270641397567 33.680585843815 37.109686382321 40.505583528373 42.977697502336 43.386390185988 44.976335326643 62.76949926679 66.590776145486 70.700838439185 77.573048968847 82.841767762037 86.983494812008 88.717797732339 101.376382582264 101.89218007052 104.773226044218 105.411353227088 108.663377476062 112.021093555642 112.723640785245 134.774830285976 135.073997010175 149.061075797358 150.414812791423 153.553040006105 164.789716905536 176.087731429784 181.232482378113 181.663872092803 189.184054970085 190.065175836152 198.991769751717 199.429647031178","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38"
General-0-20200528-01:14:56-4205,vector,Network.node[1].app,Delay,,,,"0","0"
General-0-20200528-01:14:56-4205,vector,Network.node[1].app,Hop Count,,,,"0","0"
General-0-20200528-01:14:56-4205,vector,Network.node[1].app,Source Node,,,,"0","0"
